StateDesc,COUNTY,mean,median,std,min,max,count,range
Missouri,St. Louis city,0.8862682692307692,0.91035,0.0935882505118488,0.5686,1.0,104,0.4314
New Jersey,Union County,0.8513983333333334,0.86175,0.1026577474253287,0.5388,1.0,120,0.46120000000000005
New Jersey,Passaic County,0.8324575000000001,0.8894,0.1686394172562305,0.0309,0.9997,120,0.9688
California,Sutter County,0.8275095238095238,0.863,0.15433498276399263,0.4807,0.9943,21,0.5136
New Jersey,Bergen County,0.8204034482758621,0.8247,0.135091724387364,0.3844,0.9989,203,0.6145
Oregon,Wasco County,0.8127,0.9016,0.21363163890879353,0.4626,0.9943,8,0.5317
Pennsylvania,Lehigh County,0.7987012345679012,0.8748,0.20571082524616152,0.1406,0.997,81,0.8564
California,Stanislaus County,0.7986526785714286,0.85265,0.17831790821215074,0.3466,0.9998,112,0.6532
Kansas,Montgomery County,0.78595,0.7941,0.12198983191606212,0.5552,0.9222,12,0.367
Louisiana,St. John the Baptist Parish,0.7783272727272728,0.8071,0.14420773967377123,0.5401,0.9819,11,0.44179999999999997
California,Merced County,0.7772507936507936,0.8158,0.19285576916694208,0.2179,0.9954,63,0.7775
Virginia,Winchester city,0.7766166666666666,0.7705500000000001,0.07667785642978471,0.6557,0.8617,6,0.20600000000000007
Arkansas,Union County,0.7728416666666668,0.78295,0.19738846543777272,0.266,0.994,12,0.728
California,Glenn County,0.762525,0.7381,0.11178481560569847,0.6473,0.9101,8,0.26280000000000003
Idaho,Caribou County,0.76155,0.76155,0.13116830791010456,0.6688,0.8543,2,0.1855
Indiana,Elkhart County,0.7615266666666667,0.8376,0.22216019547737495,0.1496,0.9913,45,0.8416999999999999
California,Sacramento County,0.7604873278236914,0.8107,0.2077773230445735,0.2152,0.9991,363,0.7839
Pennsylvania,Northampton County,0.757927027027027,0.83415,0.2125826326346761,0.1402,0.991,74,0.8508
Pennsylvania,Lancaster County,0.7491396551724138,0.81115,0.1988773823148369,0.1807,0.991,116,0.8103
Idaho,Power County,0.7433,0.7433,0.10960155108391488,0.6658,0.8208,2,0.15500000000000003
Michigan,Berrien County,0.7345754716981132,0.8148,0.21900195547569212,0.2717,0.9981,53,0.7263999999999999
Indiana,Henry County,0.7330692307692307,0.7277,0.13378700350815956,0.4565,0.9745,13,0.518
Texas,Harrison County,0.7314375,0.79315,0.17844814326109795,0.3477,0.9788,16,0.6311
California,Fresno County,0.7291973333333334,0.7506,0.20737223560544463,0.1068,0.9985,225,0.8917
Ohio,Hancock County,0.7284400000000001,0.7456,0.19147496591311505,0.1637,0.9578,15,0.7941
Connecticut,Greater Bridgeport Planning Region,0.7277756410256411,0.77685,0.2117651757458593,0.2039,0.9932,78,0.7893
West Virginia,Brooke County,0.7271875,0.84535,0.23918837428448972,0.2614,0.9336,8,0.6721999999999999
Louisiana,West Baton Rouge Parish,0.7255333333333334,0.80225,0.2720227833595316,0.3209,0.9873,6,0.6663999999999999
Texas,Orange County,0.72525,0.7523,0.1920137517720156,0.3353,0.9801,24,0.6448
Illinois,LaSalle County,0.7247928571428571,0.71395,0.18223597833287972,0.4085,0.9734,28,0.5649000000000001
Indiana,Vigo County,0.721921875,0.7909999999999999,0.21051858508772733,0.2582,0.9823,32,0.7241
Indiana,LaPorte County,0.7216833333333333,0.7806,0.1962030863466577,0.3234,0.9707,30,0.6473
Virginia,Petersburg city,0.7207272727272728,0.7061,0.09444059604755883,0.5686,0.8314,11,0.26280000000000003
Indiana,Delaware County,0.7197558823529411,0.7307,0.18378634201105348,0.2495,0.9538,34,0.7042999999999999
Pennsylvania,Schuylkill County,0.7187642857142856,0.74325,0.2010137634183881,0.1491,0.9823,42,0.8331999999999999
California,Colusa County,0.7179833333333333,0.7074499999999999,0.06891651229325718,0.6201,0.8036,6,0.1835
Tennessee,Hamblen County,0.7177916666666667,0.7229,0.12093302773423684,0.4767,0.908,12,0.4313
Ohio,Van Wert County,0.7163222222222222,0.758,0.18472057802108685,0.4521,0.9515,9,0.4994
California,Tehama County,0.7154071428571429,0.7431,0.1762198734286482,0.3734,0.9233,14,0.5499
Nebraska,Platte County,0.7153875,0.7181500000000001,0.21437115635871218,0.3998,0.953,8,0.5531999999999999
Kentucky,Campbell County,0.708468,0.8051,0.25832648547913156,0.1227,0.9714,25,0.8487
Indiana,Fayette County,0.7076142857142858,0.7387,0.0776854003566399,0.5713,0.8034,7,0.23209999999999997
Pennsylvania,Northumberland County,0.7072360000000001,0.7141,0.1281982152761886,0.398,0.8802,25,0.48219999999999996
Oregon,Clackamas County,0.7061781609195402,0.7413,0.22140718010315208,0.1406,0.9961,87,0.8554999999999999
