StateDesc,mean,median,std,min,max,count,range
Idaho,0.3729875,0.35609999999999997,0.23719821404155972,0.0121,0.9663,456,0.9542
North Dakota,0.364059649122807,0.34145000000000003,0.2039547586178659,0.0062,0.9317,228,0.9255
South Dakota,0.29598429752066113,0.25875,0.1948619296312877,0.0082,0.9573,242,0.9491
Illinois,-1.2287416487894576,0.6382,42.83229226975097,-999.0,1.0,3263,1000.0
West Virginia,-1.4171313186813186,0.37515,42.771787982704446,-999.0,0.9956,546,999.9956
Oregon,-1.4178117706237425,0.62205,44.816123839284195,-999.0,0.998,994,999.998
Washington,-1.73003880428652,0.512,47.43601238133159,-999.0,0.999,1773,999.999
Arkansas,-2.0298657351154312,0.3672,49.23744043307146,-999.0,0.994,823,999.994
Wisconsin,-2.1250950261780104,0.5152,51.08891191099073,-999.0,0.9864,1528,999.9864
Minnesota,-2.1770339547270305,0.4744,51.528038683901414,-999.0,0.9926,1502,999.9926
Maine,-2.2827807980049877,0.1213,49.898549357045496,-999.0,0.8771,401,999.8771
Missouri,-2.563990205562273,0.44145,54.88603058973739,-999.0,1.0,1654,1000.0
Ohio,-2.912354079696395,0.5902499999999999,58.86299336743868,-999.0,0.9957,3162,999.9957
Nebraska,-3.178710669077758,0.4142,60.050589986108854,-999.0,0.957,553,999.957
Rhode Island,-3.464325101214575,0.6334,63.60231157160278,-999.0,0.9565,247,999.9565
Georgia,-3.5212649587961304,0.3764,62.63071383561276,-999.0,0.9988,2791,999.9988
New Jersey,-3.9076197241379305,0.7753,67.64528018453446,-999.0,1.0,2175,1000.0
Iowa,-3.9967996651785715,0.4433,66.66792141024416,-999.0,0.9737,896,999.9737
Mississippi,-4.238533371428572,0.2774,67.45137995345641,-999.0,0.9771,875,999.9771
Alabama,-4.495125139275766,0.3236,69.62964872978878,-999.0,0.9998,1436,999.9998
Indiana,-4.723753514471353,0.6135,72.70898743187453,-999.0,0.9996,1693,999.9996
Vermont,-4.97529689119171,0.1265,71.92444052939696,-999.0,0.7875,193,999.7875
New Hampshire,-5.429141833810888,0.2437,75.5395265279854,-999.0,0.952,349,999.952
Maryland,-5.586810443686007,0.5536,78.13060998349526,-999.0,0.9999,1465,999.9999
Wyoming,-5.80188375,0.4488,79.01344410420394,-999.0,0.9817,160,999.9817
Montana,-5.894555485893417,0.3446,79.00680254051346,-999.0,0.9962,319,999.9962
Connecticut,-6.250508532423209,0.5927,82.34879577589194,-999.0,0.9954,879,999.9954
North Carolina,-6.491911015037594,0.2112,81.9383645606518,-999.0,0.9663,2660,999.9663
Kentucky,-6.506673200612558,0.3208,82.7080193044383,-999.0,0.9811,1306,999.9811
California,-6.67443627181908,0.7201,85.42499818040383,-999.0,1.0,9109,1000.0
Texas,-7.20002777454968,0.48,87.36825200800193,-999.0,1.0,6884,1000.0
South Carolina,-7.984980637813211,0.3101,90.98537195816283,-999.0,0.9758,1317,999.9758
Oklahoma,-8.68989917012448,0.4106,95.09270472961623,-999.0,0.9937,1205,999.9937
District of Columbia,-9.047034951456311,0.66165,98.25894652535177,-999.0,0.982,206,999.982
Utah,-9.270948044692737,0.4881,98.41185200472363,-999.0,0.9991,716,999.9991
Florida,-9.636608980866848,0.23904999999999998,99.22886482930328,-999.0,0.995,5122,999.995
Nevada,-9.788144801026958,0.4431,100.8294722499539,-999.0,0.9947,779,999.9947
Louisiana,-10.37715511240029,0.4978,103.7117422713374,-999.0,0.9949,1379,999.9949
Colorado,-10.560127090532136,0.4666,104.55436194364661,-999.0,0.9999,1447,999.9999
Virginia,-10.649743687099726,0.26555,104.15716234794125,-999.0,0.9859,2186,999.9859
Delaware,-11.0951861003861,0.4664,107.15133430610486,-999.0,0.9921,259,999.9921
Massachusetts,-11.853323420074348,0.55945,110.60841822471212,-999.0,0.9909,1614,999.9909
Pennsylvania,-12.14330136429608,0.6817,112.26421879658795,-999.0,0.9995,3445,999.9995
Tennessee,-13.072580893592004,0.4042,115.46271719367505,-999.0,0.9978,1701,999.9978
Kansas,-13.976692641737033,0.4766,119.45080653807338,-999.0,0.9891,829,999.9891
Arizona,-17.215354560906516,0.2694,131.3096245982562,-999.0,0.9961,1765,999.9961
New Mexico,-17.7125772875817,0.1804,132.86511925711065,-999.0,0.9155,612,999.9155
New York,-23.850333704115684,0.6703,154.46274580268852,-999.0,0.9996,5394,999.9996
Michigan,-26.034032985526757,0.5373,160.83692788528202,-999.0,0.9989,2971,999.9989
American Samoa,-999.0,-999.0,0.0,-999.0,-999.0,18,0.0
Alaska,-999.0,-999.0,0.0,-999.0,-999.0,177,0.0
United States Virgin Islands,-999.0,-999.0,0.0,-999.0,-999.0,29,0.0
Commonwealth of the Northern Mariana Islands,-999.0,-999.0,0.0,-999.0,-999.0,23,0.0
Guam,-999.0,-999.0,0.0,-999.0,-999.0,56,0.0
Hawaii,-999.0,-999.0,0.0,-999.0,-999.0,436,0.0
Puerto Rico,-999.0,-999.0,0.0,-999.0,-999.0,940,0.0
