StateDesc,min,max,mean,count,within_state_gap
Michigan,-499.4928,0.7345754716981132,-17.979468067977503,83,500.2273754716981
West Virginia,-332.9245,0.7271875,-5.7283423401925075,55,333.65168750000004
Tennessee,-332.9023666666667,0.7177916666666667,-9.652867012689544,95,333.62015833333334
Virginia,-332.69,0.7766166666666666,-12.46969382252958,133,333.46661666666665
Texas,-332.72346666666664,0.7314375,-6.259332829118911,254,333.45490416666667
Montana,-332.65093333333334,0.619552,-8.59002736509407,56,333.27048533333334
Kentucky,-285.2850142857143,0.708468,-7.38418544828155,120,285.99348228571426
Florida,-249.670475,0.54091,-16.02148383528317,67,250.211385
Mississippi,-249.56097499999998,0.6066285714285715,-4.06550542986597,82,250.16760357142854
Georgia,-199.69026,0.6911785714285715,-4.082707906273248,159,200.38143857142856
Colorado,-199.57963333333333,0.5842525641025641,-6.252064471311318,64,200.1638858974359
New Mexico,-199.69494,0.3982384615384615,-14.105091941404291,33,200.09317846153846
Louisiana,-142.61004285714287,0.7783272727272728,-4.383225631674128,64,143.38837012987014
New York,-124.7570125,0.5649,-20.22420959307333,62,125.3219125
North Carolina,-124.7887625,0.4813435294117647,-5.864246674965602,100,125.27010602941176
Oregon,-124.4295875,0.8127,-3.1535226966473697,36,125.2422875
South Carolina,-110.82133333333334,0.5283,-8.562334590426405,46,111.34963333333334
Utah,-99.66385,0.682,-5.99720763074107,29,100.34585
Pennsylvania,-99.48586,0.7987012345679012,-3.853245141463148,67,100.2845612345679
Iowa,-99.45874,0.68038,-1.3931293619723693,99,100.13912
Kansas,-93.03022031249999,0.78595,-2.052177191560924,105,93.81617031249999
Maryland,-82.86715833333334,0.6333285714285714,-9.051138969665281,24,83.50048690476191
Arizona,-83.16500833333333,0.31736666666666663,-16.78143322487282,15,83.482375
Alabama,-78.52229473684211,0.6865132275132275,-1.6686368394055562,67,79.20880796435534
New Jersey,-72.60389024390244,0.8513983333333334,-5.045769383791702,21,73.45528857723578
Maine,-71.26748571428571,0.320240625,-4.300112890339602,16,71.58772633928571
Washington,-70.7180357142857,0.605025,-4.142309419699363,39,71.3230607142857
Indiana,-67.0980627118644,0.7615266666666667,-1.3111669180660026,92,67.85958937853107
Nevada,-66.42375333333334,0.6912499999999999,-12.996389377935989,17,67.11500333333333
California,-63.73652903225806,0.8275095238095238,-5.512122510445899,58,64.56403855606759
Ohio,-62.0002875,0.7284400000000001,-0.8786092944607813,88,62.7287275
Massachusetts,-54.515712765957446,0.5892682080924855,-7.39940235036175,14,55.10498097404993
Oklahoma,-52.22491052631579,0.600157142857143,-0.756284049431129,77,52.82506766917293
Arkansas,-41.108225,0.7728416666666668,-0.32980319285398757,75,41.88106666666666
Missouri,-36.63838888888889,0.8862682692307692,-0.2625313425175441,115,37.52465715811966
Wyoming,-36.32432222222222,0.58105,-1.2250135867514127,23,36.90537222222222
Minnesota,-33.484428813559326,0.63555625,-0.14086924770827527,87,34.11998506355933
Rhode Island,-25.085120512820513,0.6657813793103448,-4.6396635170386835,5,25.75090189213086
Nebraska,-24.21918271604938,0.7153875,0.0746500090724292,93,24.93457021604938
Vermont,-24.010141463414634,0.221,-1.5808479810661962,14,24.231141463414634
Connecticut,-19.534236144578315,0.7277756410256411,-3.36176540285853,9,20.262011785603956
Delaware,-23.956817073170733,-6.303908333333333,-14.517813423789642,3,17.6529087398374
Wisconsin,-16.68585344827586,0.6699304347826087,-0.18330584036875852,72,17.355783883058468
New Hampshire,-13.618605555555556,0.3040233333333333,-2.1020030577768622,10,13.92262888888889
Illinois,-12.021987421383647,0.7247928571428571,0.2481656749885658,102,12.746780278526504
Idaho,0.0668,0.76155,0.38437607717239036,44,0.69475
North Dakota,0.0283,0.6386333333333334,0.3250776070876878,53,0.6103333333333334
South Dakota,0.05513333333333333,0.4967333333333333,0.23034898779116864,66,0.4416
Hawaii,-999.0,-999.0,-999.0,5,0.0
Puerto Rico,-999.0,-999.0,-999.0,78,0.0
Guam,-999.0,-999.0,-999.0,1,0.0
District of Columbia,-9.047034951456311,-9.047034951456311,-9.047034951456311,1,0.0
United States Virgin Islands,-999.0,-999.0,-999.0,3,0.0
Alaska,-999.0,-999.0,-999.0,30,0.0
Commonwealth of the Northern Mariana Islands,-999.0,-999.0,-999.0,4,0.0
American Samoa,-999.0,-999.0,-999.0,5,0.0
